date,season,away_team.x,away_goals,home_team,home_goals,extra_time,attendance,winner,game_status,home_odds,tie_odds,away_odds,location_lon,location_lat,label_content
18/10/2018,2018/2019,Minnesota Wild,3,Dallas Stars,1,Normal Time,18346,Minnesota Wild,Played,2.08,4.65,3.1,-96.810706,32.791093,Dallas Stars vs Minnesota Wild | Score: 1 - 3 Normal Time | Winner is Minnesota Wild
18/10/2018,2018/2019,Florida Panthers,6,Washington Capitals,5,SO,18506,Florida Panthers,Played,2.14,4.65,3.16,-77.021903,38.898147,Washington Capitals vs Florida Panthers | Score: 5 - 6 SO | Winner is Florida Panthers
18/10/2018,2018/2019,shville Predators,5,Calgary Flames,3,Normal Time,18725,shville Predators,Played,2.68,4.2,2.36,-114.051939,51.037398,Calgary Flames vs shville Predators | Score: 3 - 5 Normal Time | Winner is shville Predators
19/10/2018,2018/2019,Detroit Red Wings,4,Florida Panthers,3,OT,14534,Detroit Red Wings,Played,1.91,4.5,3.8,-80.325378,26.158498,Florida Panthers vs Detroit Red Wings | Score: 3 - 4 OT | Winner is Detroit Red Wings
19/10/2018,2018/2019,Aheim Ducks,1,Vegas Golden Knights,3,Normal Time,18375,Vegas Golden Knights,Played,1.98,4.45,3.44,-115.178408,36.102827,Vegas Golden Knights vs Aheim Ducks | Score: 3 - 1 Normal Time | Winner is Vegas Golden Knights
19/10/2018,2018/2019,Chicago Blackhawks,4,Columbus Blue Jackets,1,Normal Time,17005,Chicago Blackhawks,Played,2.08,4.33,3.1,-83.006102,39.96904,Columbus Blue Jackets vs Chicago Blackhawks | Score: 1 - 4 Normal Time | Winner is Chicago Blackhawks
19/10/2018,2018/2019,St. Louis Blues,4,Toronto Maple Leafs,1,Normal Time,19268,St. Louis Blues,Played,1.97,4.55,3.42,-79.379026,43.64341,Toronto Maple Leafs vs St. Louis Blues | Score: 1 - 4 Normal Time | Winner is St. Louis Blues
19/10/2018,2018/2019,Tampa Bay Lightning,4,Minnesota Wild,5,OT,19080,Minnesota Wild,Played,2.98,4.33,2.2,-93.102168,44.944905,Minnesota Wild vs Tampa Bay Lightning | Score: 5 - 4 OT | Winner is Minnesota Wild
19/10/2018,2018/2019,Montreal Cadiens,3,Ottawa Setors,4,OT,18442,Ottawa Setors,Played,2.74,4.25,2.29,-75.927207,45.296899,Ottawa Setors vs Montreal Cadiens | Score: 4 - 3 OT | Winner is Ottawa Setors
19/10/2018,2018/2019,Boston Bruins,1,Vancouver Canucks,2,OT,17871,Vancouver Canucks,Played,3.26,4.33,2.03,-123.108833,49.277821,Vancouver Canucks vs Boston Bruins | Score: 2 - 1 OT | Winner is Vancouver Canucks
